Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,Station Side,ELEVATION (M),CUMALTIVE ELEVATION (M),,
Red,A,1,50,0.5,40,SWITCH ( 15 1 ),,0.25,0.25,,Bidirectional
Red,A,2,50,1,40,,,0.50,0.75,,Bidirectional
Red,A,3,50,1.5,40,,,0.75,1.50,,Bidirectional
Red,B,4,50,2,40,,,1.00,2.50,,Bidirectional
Red,B,5,50,1.5,40,,,0.75,3.25,,Bidirectional
Red,B,6,50,1,40,,,0.50,3.75,,Bidirectional
Red,C,7,75,0.5,40,STATION SHADYSIDE,Left/Right,0.38,4.13,,Bidirectional
Red,C,8,75,0,40,,,0.00,4.13,,Bidirectional
Red,C,9,75,0,40,SWITCH TO/FROM YARD (75-yard),,0.00,4.13,,Bidirectional
Red,D,10,75,0,40,,,0.00,4.13,,Bidirectional
Red,D,11,75,-0.5,40,,,-0.38,3.75,,Bidirectional
Red,D,12,75,-1,40,,,-0.75,3.00,,Bidirectional
Red,E,13,70,-2,40,,,-1.40,1.60,,Bidirectional
Red,E,14,60,-1.25,40,,,-0.75,0.85,,Bidirectional
Red,E,15,60,-1,40,SWITCH ( 15 16 ) or ( 15 1 ),,-0.60,0.25,,Bidirectional
Red,F,16,50,-0.5,40,SWITCH ( 15 16 );STATION HERRONAVE,Left/Right,-0.25,0.00,,Bidirectional
Red,F,17,200,-0.5,55,,,-1.00,-1.00,,Bidirectional
Red,F,18,400,-0.06025,70,,,-0.24,-1.24,,Bidirectional
Red,F,19,400,0,70,,,0.00,-1.24,,Bidirectional
Red,F,20,200,0,70,,,0.00,-1.24,,Bidirectional
Red,G,21,100,0,55,STATION SWISSVILLE,Left/Right,0.00,-1.24,,Bidirectional
Red,G,22,100,0,55,,,0.00,-1.24,,Bidirectional
Red,G,23,100,0,55,,,0.00,-1.24,,Bidirectional
Red,H,24,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,25,50,0,70,STATION PENNSTATION;UNDERGROUND,Left/Right,0.00,-1.24,,Bidirectional
Red,H,26,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,27,50,0,70,SWITCH ( 27 28 ) or ( 27 76 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,28,50,0,70,SWITCH ( 27 28 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,29,60,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,30,60,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,31,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
